time,open,high,low,close,tick_volume,spread,real_volume,sma_5,sma_20,sma_50,sma_200,ema_9,ema_12,ema_26,ema_50,ema_200,rsi_14,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,bb_width,macd,signal,histogram,tr,atr_14,plus_dm,minus_dm,plus_di_14,minus_di_14,dx,adx_14,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2025-04-27 23:45:00,3306.154,3306.591,3300.339,3302.086,1400,160,0,,,,,3302.086,3302.086,3302.086,3302.086,3302.086,,,,,,,,,,0.0,0.0,0.0,6.251999999999953,,0.0,0.0,0.0,0.0,,,,,,,3280.9
2025-04-27 23:50:00,3302.089,3302.82,3299.261,3302.311,1096,159,0,,,,,3302.131,3302.120615384615,3302.102666666666,3302.0948235294118,3302.0882388059704,,,,,,,,,,0.017948717948911508,0.003589743589782302,0.014358974359129206,3.5590000000001965,,0.0,1.0779999999999745,0.0,1.2707019508457358,100.0,100.0,,,,,3275.686
2025-04-27 23:55:00,3302.282,3303.425,3298.606,3302.739,1456,160,0,,,,,3302.2526,3302.21575147929,3302.1498024691355,3302.120085351788,3302.094714041732,,,,,,,,,,0.06594901015432697,0.016061596902691235,0.04988741325163573,4.81899999999996,,0.0,0.6549999999997453,0.0,1.9809949577933084,100.0,100.0,,,,,3272.805
2025-04-28 00:00:00,3302.745,3308.256,3301.594,3308.068,1482,160,0,,,,,3303.41568,3303.116097405553,3302.588187471422,3302.35333690662,3302.154149722909,,,,,,,,,,0.527909934131003,0.11843126434835359,0.40947866978264935,6.661999999999807,,4.830999999999676,0.0,5.731720936989381,1.824415062416757,51.71036988852122,96.55074070632296,,,,,3271.204
2025-04-28 00:05:00,3308.067,3313.813,3307.335,3310.845,2076,159,0,3305.2097999999996,,,,3304.9015440000003,3304.30515934316,3303.199803214279,3302.6863433024387,3302.240625845069,,,,,,,,,,1.105356128880885,0.3158162372548599,0.7895398916260252,6.4780000000000655,,5.557000000000244,0.0,11.85104893848146,1.684951417800644,75.10414637336129,95.01884111111141,,,,,3273.226
2025-04-28 00:10:00,3310.818,3311.355,3304.985,3307.23,1737,160,0,3306.2385999999997,,,,3305.3672352000003,3304.7551348288275,3303.498336309518,3302.8645259180294,3302.290271359049,,,,,,,,,,1.256798519309541,0.5040126936657962,0.7527858256437449,6.369999999999891,,0.0,2.349999999999909,10.963542640852133,4.321527578687707,43.45426593901762,91.33565717024757,,,,,3274.745
2025-04-28 00:15:00,3307.243,3311.515,3306.544,3307.313,1257,159,0,3307.239,,,,3305.756388160001,3305.1486525474693,3303.7809039902945,3303.0389758820284,3302.3402487584617,,,,,,,,,,1.3677485571747638,0.6767598663675898,0.6909886908071741,4.971000000000004,,0.15999999999985448,0.0,10.504967340809483,4.065649211566305,44.19386170857145,87.96838606584214,,,,,3274.648
2025-04-28 00:20:00,3307.351,3309.054,3306.265,3307.8,1074,160,0,3308.2512,,,,3306.1651105280007,3305.556552155551,3304.0786148058282,3303.225682710184,3302.3945746414624,,,,,,,,,,1.4779373497226516,0.8369953630386022,0.6409419866840493,2.7890000000002146,,0.0,0.27899999999999636,10.142127649699674,4.270744468323913,40.73707955844192,84.59472131531356,,,,,3276.584
2025-04-28 00:25:00,3307.878,3311.174,3305.537,3311.174,1132,160,0,3308.8724,,,,3307.166888422401,3306.4207749008506,3304.604198894285,3303.5373814274317,3302.4819321077166,,,,,,,,,,1.8165760065653558,1.032911491743953,0.7836645148214028,5.637000000000171,,2.119999999999891,0.0,12.062682692368575,3.9721191963075233,50.45627349954769,82.15626075704458,3306.2095,,,,3279.324
2025-04-28 00:30:00,3311.211,3313.419,3310.63,3311.088,1109,160,0,3308.921,,,,3307.9511107379208,3307.138809531489,3305.0844804576714,3303.8334841165524,3302.567564624058,,,,,,,,,,2.0543290738178257,1.2371950081587275,0.8171340656590982,2.78899999999976,,2.244999999999891,0.0,14.520681876810274,3.8294454637690234,58.26246442115283,80.4495610187666,3306.2095,,,,3280.144
2025-04-28 00:35:00,3311.059,3312.014,3309.0,3310.527,902,160,0,3309.5804000000003,,,,3308.4662885903367,3307.6600696035675,3305.4876300533992,3304.095974935511,3302.6467629860076,,,,,,,,,,2.172439550168292,1.4242439165606404,0.7481956336076516,3.0140000000001237,,0.0,1.6300000000001091,13.93803848248846,5.845790884010136,40.903343071597234,77.62483116539735,3306.2095,,,,3284.303
2025-04-28 00:40:00,3310.573,3312.3,3307.621,3308.719,947,160,0,3309.8616,,,,3308.5168308722696,3307.8229819722496,3305.7269907901846,3304.2772700360792,3302.7071832548036,,,,,,,,,,2.095991182065063,1.558593369661525,0.5373978124035381,4.679000000000087,,0.0,1.3789999999999054,13.061817009535456,7.331070728697749,28.10169091498273,74.08746400465346,3307.7035,,,,3283.149
2025-04-28 00:45:00,3308.674,3313.532,3308.674,3312.623,937,159,0,3310.8262000000004,,,,3309.338064697816,3308.5614462842113,3306.237806287208,3304.604553564076,3302.8058480980394,,,,,,,,,,2.3236399970032835,1.7116026951298768,0.6120373018734067,4.858000000000175,,1.231999999999971,0.0,13.869514049120571,6.849603415352329,33.88132069720292,71.21559662554985,3309.3990000000003,,,,3280.778
2025-04-28 00:50:00,3312.658,3315.965,3311.563,3313.957,1804,159,0,3311.3828000000003,,,,3310.261851758253,3309.391531471256,3306.8095984140814,3304.9713161694067,3302.9168048333827,74.71992003665056,3298.606,3315.965,88.43251339362709,,,,,,2.5819330571744104,1.8856687675387835,0.6962642896356268,4.402000000000044,4.80564285714289,2.4329999999999927,0.0,16.36300610526708,6.4370649031567515,43.534694249167195,69.23838931295109,3310.4750000000004,,,,3284.11
2025-04-28 00:55:00,3313.949,3315.767,3312.161,3314.158,1335,160,0,3311.9968,,,,3311.0410814066026,3310.124834321832,3307.3539244574827,3305.3315782804107,3303.0286575216082,74.92978688253831,3298.606,3315.965,89.59041419436458,,,,,,2.7709098643495054,2.062716986900928,0.7081928774485773,3.605999999999767,4.616642857142876,0.0,0.0,15.537463376694802,6.11230354268532,43.53469424916721,67.40241109410938,3310.751,,,,3284.021
2025-04-28 01:00:00,3314.14,3315.282,3309.568,3310.77,3077,160,0,3312.0454,,,,3310.9868651252823,3310.2240905800118,3307.6069670902616,3305.5448497203947,3303.1056858049756,65.4502283105025,3298.606,3315.965,70.07316089636393,82.69869616145188,,,,,2.6171234897501563,2.173598287470774,0.4435252022793823,5.713999999999942,4.770571428571429,0.0,2.592999999999847,14.305811013229611,9.22502956822839,21.592009972668855,64.13023958543506,3310.751,,,,3283.142
2025-04-28 01:05:00,3310.775,3311.478,3305.535,3308.942,2279,159,0,3312.0899999999992,,,,3310.577892100226,3310.026845875395,3307.705858416909,3305.678071299987,3303.163758583036,60.778453518679676,3301.594,3315.965,51.13074942592657,70.26477483888503,,,,,2.320987458485888,2.2030761216737966,0.11791133681209143,5.943000000000211,4.850857142857161,0.0,4.0330000000003565,13.139197395852673,14.006717878426963,3.1957680329027394,59.777777331682756,3310.75,,,,3289.863
2025-04-28 01:10:00,3308.982,3312.131,3306.084,3307.145,1462,160,0,3310.9943999999996,,,,3309.891313680181,3309.583484971488,3307.6643133489897,3305.735597915674,3303.203372925493,48.171770391791256,3304.985,3315.965,19.672131147539627,46.95868048994337,,,,,1.9191716224981974,2.146295221838677,-0.22712359934047965,6.0470000000000255,4.806928571428606,0.6529999999997926,0.0,12.94721429613152,12.857772902189108,0.34660507000070395,55.53269359870547,3310.75,,,,3292.794
2025-04-28 01:15:00,3307.17,3308.035,3301.316,3301.917,2616,159,0,3308.5864,,,,3308.2964509441454,3308.404025745105,3307.23858643425,3305.5858489778047,3303.1905731948914,33.88098505091348,3301.316,3315.965,4.102669124172972,24.96851656587972,,,,,1.165439310855163,1.9501240396419743,-0.7846847287868113,6.719000000000051,4.82414285714289,0.0,4.768000000000029,11.78997034874993,18.051311253767082,20.98214476314257,53.06479725330812,3308.6405,,,,3292.789
2025-04-28 01:20:00,3301.88,3303.809,3295.223,3295.316,2133,160,0,3304.818,3307.7364000000002,,,3305.7003607553165,3306.390483322781,3306.3554318835645,3305.1831098022044,3303.112219232753,30.583441981746617,3295.223,3315.965,0.448365634942852,8.074388635551818,3307.7364000000002,3317.2653226518673,3298.207477348133,0.005761597358161373,0.035051439216658764,1.5671095195569114,-1.5320580803402526,8.58600000000024,4.982428571428629,0.0,6.092999999999847,10.498599769367718,23.846945437154098,38.8648530326771,52.05051552326305,3305.594,,,,3291.387
2025-04-28 01:25:00,3295.362,3296.084,3290.096,3291.104,2726,159,0,3300.8848,3307.1873,,,3302.7810886042535,3304.038716657738,3305.2256961884855,3304.6309878491766,3302.992734464268,26.717228303024484,3290.096,3315.965,3.8965557230654655,2.81586349406043,3307.1873,3319.0636917628744,3295.3109082371257,0.007182170639609308,-1.1869795307475215,1.0162917094960249,-2.2032712402435464,5.987999999999829,5.055071428571474,0.0,5.126999999999953,9.700583705938715,28.5425126969928,49.26883741979052,51.851824230157874,3303.0305,,,,3293.649
