time,open,high,low,close,tick_volume,spread,real_volume,sma_5,sma_20,sma_50,sma_200,ema_9,ema_12,ema_26,ema_50,ema_200,rsi_14,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,bb_width,macd,signal,histogram,tr,atr_14,plus_dm,minus_dm,plus_di_14,minus_di_14,dx,adx_14,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2025-04-28 00:00:00,93701.54,93756.6,93612.13,93623.55,1881,2898,0,,,,,93623.55,93623.55,93623.55,93623.55,93623.55,,,,,,,,,,0.0,0.0,0.0,144.47000000000116,,0.0,0.0,0.0,0.0,,,,,,,93083.91
2025-04-28 00:05:00,93621.21,93666.11,93274.47,93400.0,2063,2898,0,,,,,93578.84000000001,93589.1576923077,93606.99074074073,93614.78333333334,93621.32562189056,,,,,,,,,,-17.83304843303631,-3.5666096866072623,-14.26643874642905,391.6399999999994,,0.0,337.6600000000035,0.0,14.876528252010193,100.0,100.0,,,,,93259.67
2025-04-28 00:10:00,93400.31,93403.51,93226.22,93384.73,1939,2898,0,,,,,93540.01800000001,93557.70727810652,93590.52698216734,93605.76163398694,93618.97143659812,,,,,,,,,,-32.819704060821095,-9.41722856145003,-23.402475499371064,177.2899999999936,,0.0,48.25,0.0,15.833911921074998,100.0,100.0,,,,,93357.48
2025-04-28 00:15:00,93387.32,93508.54,93347.14,93485.15,1926,2898,0,,,,,93529.04440000001,93546.54461993629,93582.72127978457,93601.03176598746,93617.63988001506,,,,,,,,,,-36.17665984827909,-14.76911481881584,-21.407545029463247,161.39999999999418,,105.02999999999884,0.0,4.6003104479030945,14.714562883153462,52.36509844974013,96.5975070321243,,,,,93381.55
2025-04-28 00:20:00,93484.79,93554.66,93304.99,93432.58,1777,2898,0,93465.202,,,,93509.75152000002,93529.01160148456,93571.59970350424,93594.42581438011,93615.79848817413,,,,,,,,,,-42.58810201968299,-20.33291225898927,-22.25518976069372,249.66999999999825,,46.120000000009895,0.0,6.0618641503956,13.16424493788975,36.94133199224225,92.33635167213274,,,,,93510.39
2025-04-28 00:25:00,93432.76,93550.38,93387.14,93550.38,1766,2898,0,93450.568,,,,93517.87721600002,93532.29904741001,93570.02787361504,93592.69852754168,93615.14755794355,,,,,,,,,,-37.72882620502787,-23.812095048196994,-13.916731156830878,163.24000000000524,,0.0,0.0,5.643219756610438,12.255096002029385,36.94133199224224,88.37956455214056,,,,,93455.57
2025-04-28 00:30:00,93550.38,93780.03,93506.94,93643.47,1960,2898,0,93499.262,,,,93542.99577280003,93549.40227088539,93575.46803112503,93594.68956567731,93615.42937328739,,,,,,,,,,-26.06576023963862,-24.26282808648532,-1.8029321531533,273.0899999999965,,229.64999999999418,0.0,14.324136578445588,10.89900224347843,13.579334273774135,83.03669096082868,,,,,93473.47
2025-04-28 00:35:00,93642.9,93714.66,93579.21,93648.06,1884,2898,0,93551.92799999999,,,,93564.00861824004,93564.58038305686,93580.84521400464,93596.78252388605,93615.75405614026,,,,,,,,,,-16.264830947780865,-22.66322865874443,6.398397710963565,135.4499999999971,,0.0,0.0,13.524744284744441,10.290757665890519,13.579334273774142,78.07545119746764,,,,,93535.83
2025-04-28 00:40:00,93647.13,93677.02,93552.66,93583.07,1858,2898,0,93571.512,,,,93567.82089459203,93567.42493950966,93581.01001296726,93596.24477785132,93615.4288416513,,,,,,,,,,-13.585073457608814,-20.847597618517305,7.262524160908491,124.36000000000058,,0.0,26.55000000000291,12.817481833441699,10.869053090731546,8.225891836638747,73.08619695740843,93503.125,,,,93565.95
2025-04-28 00:45:00,93583.58,93631.79,93457.52,93478.43,1820,2898,0,93580.682,,,,93549.94271567363,93553.73341035433,93573.41149348821,93591.6245904846,93614.06566909756,,,,,,,,,,-19.678083133883774,-20.6136947215906,0.935611587706827,174.26999999998952,,0.0,95.13999999999942,11.879936533318135,14.067310010174392,8.430079365800152,68.46790284372213,93503.125,,,,93605.75
